team_name,dates,wins,defeats,draws,exp_wins,exp_defeats,exp_draws,under_2_5,over_2_5,exp_under_2_5,exp_over_2_5
Bayern Munich,['2023-08-18T18:30:00Z'],[0],[0],[1],[0.1111111111111111],[0.7751937984496123],[0.16666666666666666],[1],[0],[0.3333333333333333],[0.7352941176470588]
Toulouse,['2023-08-19T19:00:00Z'],[0],[0],[1],[0.6060606060606061],[0.2222222222222222],[0.23094688221709006],[1],[0],[0.42016806722689076],[0.6535947712418301]
Burnley,['2023-08-27T13:00:00Z'],[0],[0],[1],[0.5],[0.2857142857142857],[0.2777777777777778],[1],[0],[0.5235602094240838],[0.5555555555555556]
SV Darmstadt 98,"['2023-08-20T15:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.13333333333333333, 0.2857142857142857]","[0.7142857142857143, 0.48780487804878053]","[0.20833333333333334, 0.2857142857142857]","[1, 1]","[0, 0]","[0.47619047619047616, 0.5555555555555556]","[0.5988023952095809, 0.5235602094240838]"
Cagliari,['2023-08-21T16:30:00Z'],[0],[0],[1],[0.5714285714285714],[0.20833333333333334],[0.2777777777777778],[1],[0],[0.5988023952095809],[0.47619047619047616]
Fulham,"['2023-08-19T14:00:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.38167938931297707, 0.08333333333333333]","[0.3846153846153846, 0.819672131147541]","[0.29411764705882354, 0.15384615384615385]","[1, 1]","[0, 0]","[0.5555555555555556, 0.38167938931297707]","[0.5235602094240838, 0.6944444444444444]"
Granada CF,"['2023-08-14T19:32:26Z', '2023-08-21T19:30:00Z', '2023-08-26T17:30:00Z']","[0, 0, 0]","[1, 0, 0]","[0, 1, 1]","[0.10526315789473684, 0.3846153846153846, 0.4]","[0.7751937984496123, 0.35714285714285715, 0.3225806451612903]","[0.18181818181818182, 0.3225806451612903, 0.3333333333333333]","[1, 1, 1]","[0, 0, 0]","[0.45454545454545453, 0.6369426751592356, 0.6944444444444444]","[0.6172839506172839, 0.4347826086956522, 0.38167938931297707]"
RB Leipzig,"['2023-08-19T13:30:00Z', '2023-08-25T18:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.37037037037037035, 0.6944444444444444]","[0.4166666666666667, 0.15384615384615385]","[0.2777777777777778, 0.2173913043478261]","[1, 1]","[0, 0]","[0.48780487804878053, 0.45454545454545453]","[0.5882352941176471, 0.6172839506172839]"
Rennes,['2023-08-20T18:45:00Z'],[0],[0],[1],[0.36363636363636365],[0.42016806722689076],[0.2777777777777778],[1],[0],[0.5235602094240838],[0.5555555555555556]
Eintracht Frankfurt,"['2023-08-20T15:30:00Z', '2023-08-27T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.7142857142857143, 0.4]","[0.13333333333333333, 0.3846153846153846]","[0.20833333333333334, 0.2777777777777778]","[1, 1]","[0, 0]","[0.47619047619047616, 0.47619047619047616]","[0.5988023952095809, 0.5988023952095809]"
Clermont,['2023-08-20T13:00:00Z'],[0],[0],[1],[0.5464480874316939],[0.25],[0.26666666666666666],[1],[0],[0.5235602094240838],[0.5555555555555556]
Brentford,"['2023-08-19T14:00:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.3846153846153846, 0.48780487804878053]","[0.38167938931297707, 0.2857142857142857]","[0.29411764705882354, 0.2857142857142857]","[1, 1]","[0, 0]","[0.5555555555555556, 0.5555555555555556]","[0.5235602094240838, 0.5235602094240838]"
Nice,['2023-08-20T13:00:00Z'],[0],[0],[1],[0.46511627906976744],[0.3125],[0.2857142857142857],[1],[0],[0.5555555555555556],[0.5235602094240838]
VfL Wolfsburg,"['2023-08-19T13:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.2, 0.3225806451612903]","[0.6369426751592356, 0.45454545454545453]","[0.22727272727272727, 0.2777777777777778]","[1, 1]","[0, 0]","[0.47619047619047616, 0.5235602094240838]","[0.5988023952095809, 0.5555555555555556]"
